Primary energy consumption per capita (kWh/person)
15185.13
11703.091
30513.402
2753.3909
8011.8125
40008.508
54939.43
9585.773
11258.242
314.66333
10743.436
47302.73
21903.543
24742.117
49007.164
7235.558
40734.336
5486.076
28695.912
9816.173
71647.29
69502.61
348.555
11431.702
8030.945
2781.5295
37139.566
27941.865
591.51733
1538.9808
302.8611
53298.86
11553.322
2189.5408
28965.469
2270.2583
8418.195
55352.246
28457.223
37742.36
11274.687
9835.123
31725.172
75738.22
484.6953
38029.27
13056.474
105901.33
2494.115
216384.27
35085.457
2880.25
110180.79
116303.484
3836.7073
19245.18
1573.317
5892.16
59568.55
161740.31
2495.8333
9158.403
2074.0635
34864.605
44650.082
149763.22
33796.73
10368.022
6062.045
3355.3328
27245.459
924.25085
27862.668
557.1035
656.3425
27303.566
223248.58
9605.366
86378.65
17660.322
1763.4426
15889.464
23180.021
340.10217
56736.633
15953.717
548.9341
5098.644
22474.787
9553.475
26411.893
5979.639
70448.46
37168.062
2004.7972
36929.9
61629.492
27853.562
72317.91
10374.727
14027.069
772.8585
983.6732
12533.961
21780.38
958.5984
12996.267
10776.443
7890.7285
4106.9497
7427.6616
9478.856
28025.29
18256.084
80129.0
1285.7498
113106.17
446.25546
6029.882
8911.608
5734.4775
35901.07
47418.41
38827.246
42436.5
5002.62
26676.488
1262.3934
56750.387
28845.504
4235.931
3183.1047
53929.51
13561.985
29793.07
9214.65
2061.452
3203.9011
9102.298
20502.656
3064.4688
27957.99
44714.965
9423.704
1251.1484
442.419
1163.1385
31003.193
2205.633
1056.7408
25039.64
27703.938
5040.644
141542.45
1513.085
28600.113
3727.3542
569.351
23152.588
6231.5947
26607.537
1528.589
18958.602
28344.934
9080.616
7965.1455
46114.938
14306.836
979.0958
46226.355
145354.05
58413.715
18406.984
454.77032
26839.543
79064.88
17861.395
566.84424
3227.6802
22364.223
35956.984
567.38477
1625.477
54097.28
41185.832
18010.424
3112.291
12061.231
17300.662
26348.527
59390.21
32076.912
65268.383
22548.604
143466.25
41981.38
7523.655
719.46136
1991.1696
8976.218
33807.605
26681.957
678.70404
3657.3855
28622.2
22537.387
2192.525
29287.125
2143.528
1434.762
41183.277
7138.9165
4277.2236
36591.31
124446.914
17803.629
27993.87
2253.5444
274.60495
447.50406
5988.8335
64130.957
322.42703
10471.6455
9358.279
17428.03
10896.961
21105.2
3056.953
36062.957
11610.774
